,Title,Published_date,Views,Likes,Comments,published_date,Month
65,What is a lambda function (python)? #shorts,2021-05-13,13026,810,49,2021-05-13,May
66,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,21393,1081,58,2021-05-07,May
67,What is Pandas? (Data & Data Science) #shorts,2021-04-30,20619,983,88,2021-04-30,Apr
68,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,72997,3264,281,2021-04-23,Apr
69,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,22954,675,85,2021-04-16,Apr
70,Why You Probably Won't Become a Data Scientist,2021-04-09,131762,3858,486,2021-04-09,Apr
71,How to Go From Data Analyst to Data Scientist,2021-04-02,50882,1460,175,2021-04-02,Apr
72,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,3892,137,92,2021-03-26,Mar
73,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,16811,334,107,2021-03-19,Mar
74,My Regrets as a Data Science Student,2021-03-12,23349,857,112,2021-03-12,Mar
75,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3791,193,83,2021-03-08,Mar
76,What is the Future of my Comment Leaderboard Project?,2021-02-26,5509,201,81,2021-02-26,Feb
77,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,6275,167,51,2021-02-19,Feb
78,Why I Quit Data Science,2021-02-12,103751,2335,347,2021-02-12,Feb
79,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,9726,483,114,2021-01-29,Jan
80,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,6943,295,126,2021-01-23,Jan
81,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,8978,288,52,2021-01-16,Jan
82,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,20641,673,134,2021-01-08,Jan
83,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,34401,1096,147,2021-01-02,Jan
84,What is the #66DaysOfData?,2020-12-26,67541,2269,210,2020-12-26,Dec
